date_collection,amount_news_name,sentiment_name,amount_news_ceo,sentiment_ceo,date_global_quote,open,high,low,close,volume,alpha_news_amount,news_sentiment_mean,date_currency_exchange_rate,currency_exchange_rate,date_retail_sales,retail_sales,date_cpi,cpi,date_unemployment,unemployment,market_capitalization,ebitda,pe_ratio,peg_ratio,book_value,dividend_per_share,dividend_yield,eps,revenue_per_share_ttm,profit_margin,operating_margin_ttm,return_on_assets_ttm,return_on_equity_ttm,revenue_ttm,gross_profit_ttm,diluted_eps_ttm,quarterly_earnings_growth_yoy,quarterly_revenue_growth_yoy,analyst_target_price,trailing_pe,forward_pe,price_to_sales_ratio_ttm,price_to_book_ratio,ev_to_revenue,ev_to_ebitda,beta,week_high_52,week_low_52,day_moving_average_50,day_moving_average_200,shares_outstanding,fiscal_date_ending,reported_currency,gross_profit,total_revenue,cost_of_revenue,cost_of_goods_and_services_sold,operating_income,selling_general_and_administrative,research_and_development,operating_expenses,investment_income_net,net_interest_income,interest_income,interest_expense,non_interest_income,other_non_operating_income,depreciation,depreciation_and_amortization,income_before_tax,income_tax_expense,interest_and_debt_expense,net_income_from_continuing_operations,comprehensive_income_net_of_tax,ebit,net_income,total_assets,total_current_assets,cash_and_cash_equivalents,cash_and_short_term_investments,inventory,current_net_receivables,total_non_current_assets,property_plant_equipment,accumulated_depreciation_amortization_ppe,intangible_assets,intangible_assets_excluding_goodwill,goodwill,investments,long_term_investments,short_term_investments,other_current_assets,other_non_current_assets,total_liabilities,total_current_liabilities,current_accounts_payable,deferred_revenue,current_debt,short_term_debt,total_non_current_liabilities,capital_lease_obligations,long_term_debt,current_long_term_debt,long_term_debt_noncurrent,short_long_term_debt_total,other_current_liabilities,other_non_current_liabilities,total_shareholder_equity,treasury_stock,retained_earnings,common_stock,common_stock_shares_outstanding,date_federal_funds_rate,federal_funds_rate,date_gdp,real_gdp,date_inflation,inflation
2024-06-17,16,0.0995905511081218,0,0.0,2024-06-17,39.6,39.6,38.95,39.46,22286574,4,0.214366,,157.868,2024-04-01,607395.0,2024-05-01,314.069,2024-05-01,4.0,166980944000,12035000000,14.86,1.093,22.41,2.648,0.0671,2.67,31.82,0.0844,0.231,0.05,0.124,134043001000,77702000000,2.67,-0.066,0.002,44.81,14.86,8.64,1.248,1.809,2.538,8.47,0.405,42.73,29.17,40.07,38.02,4209250000,2024-03-31,USD,20287000000,32981000000,12694000000,17317000000.0,7521000000,8143000000,,13261000000,,-1635000000,78000000.0,1635000000,110000000,198000000,,4445000000,5955000000,1353000000,1525000000,4722000000,4783000000,7590000000,4602000000,380158000000,37957000000,2365000000,2365000000,2076000000,26086000000,358908000000,107863000000,214403000000,189788000000,166946000000,22842000000,30237000000,941000000,19000000.0,3536000000.0,19258000000,303440000000,53631000000,,18184000000,15594000000,19876000000.0,230801000000,23936000000.0,6294000000,15594000000,,6294000000,13616000000,16258000000,93913000000,3602000000,84714000000,429000000.0,4215000000,2024-06-14,5.33,2024-01-01,5569.132,2022-01-01,8.00279982052121
2024-06-18,0,0.0,0,0.0,2024-06-18,39.71,40.18,39.7,40.08,17021121,14,0.2276246428571428,,157.781,2024-05-01,643433.0,2024-05-01,314.069,2024-05-01,4.0,166097011000,12035000000,14.78,1.093,22.41,2.648,0.0674,2.67,31.82,0.0844,0.231,0.05,0.124,134043001000,77702000000,2.67,-0.066,0.002,44.81,14.78,8.64,1.248,1.809,2.538,8.47,0.405,42.73,29.17,40.02,38.04,4209250000,2024-03-31,USD,20287000000,32981000000,12694000000,17317000000.0,7521000000,8143000000,,13261000000,,-1635000000,78000000.0,1635000000,110000000,198000000,,4445000000,5955000000,1353000000,1525000000,4722000000,4783000000,7590000000,4602000000,380158000000,37957000000,2365000000,2365000000,2076000000,26086000000,358908000000,107863000000,214403000000,189788000000,166946000000,22842000000,30237000000,941000000,19000000.0,3536000000.0,19258000000,303440000000,53631000000,,18184000000,15594000000,19876000000.0,230801000000,23936000000.0,6294000000,15594000000,,6294000000,13616000000,16258000000,93913000000,3602000000,84714000000,429000000.0,4215000000,2024-06-17,5.33,2024-01-01,5569.132,2022-01-01,8.00279982052121
2024-06-19,0,0.0,0,0.0,2024-06-18,39.71,40.18,39.7,40.08,17125702,4,0.16492325,,158.058,2024-05-01,643433.0,2024-05-01,314.069,2024-05-01,4.0,168706753000,12035000000,15.01,1.093,22.41,2.648,0.0664,2.67,31.82,0.0844,0.231,0.05,0.124,134043001000,77702000000,2.67,-0.066,0.002,44.81,15.01,8.64,1.248,1.809,2.538,8.47,0.405,42.73,29.17,39.99,38.07,4209250000,2024-03-31,USD,20287000000,32981000000,12694000000,17317000000.0,7521000000,8143000000,,13261000000,,-1635000000,78000000.0,1635000000,110000000,198000000,,4445000000,5955000000,1353000000,1525000000,4722000000,4783000000,7590000000,4602000000,380158000000,37957000000,2365000000,2365000000,2076000000,26086000000,358908000000,107863000000,214403000000,189788000000,166946000000,22842000000,30237000000,941000000,19000000.0,3536000000.0,19258000000,303440000000,53631000000,,18184000000,15594000000,19876000000.0,230801000000,23936000000.0,6294000000,15594000000,,6294000000,13616000000,16258000000,93913000000,3602000000,84714000000,429000000.0,4215000000,2024-06-17,5.33,2024-01-01,5569.132,2022-01-01,8.00279982052121
2024-06-20,0,0.0,0,0.0,2024-06-20,39.84,40.465,39.81,40.24,16917695,8,0.214781875,,158.974,2024-05-01,643433.0,2024-05-01,314.069,2024-05-01,4.0,168706753000,12035000000,15.01,1.093,22.41,2.648,0.0664,2.67,31.82,0.0844,0.231,0.05,0.124,134043001000,77702000000,2.67,-0.066,0.002,44.81,15.01,8.64,1.248,1.809,2.538,8.47,0.405,42.73,29.17,39.99,38.07,4209250000,2024-03-31,USD,20287000000,32981000000,12694000000,17317000000.0,7521000000,8143000000,,13261000000,,-1635000000,78000000.0,1635000000,110000000,198000000,,4445000000,5955000000,1353000000,1525000000,4722000000,4783000000,7590000000,4602000000,380158000000,37957000000,2365000000,2365000000,2076000000,26086000000,358908000000,107863000000,214403000000,189788000000,166946000000,22842000000,30237000000,941000000,19000000.0,3536000000.0,19258000000,303440000000,53631000000,,18184000000,15594000000,19876000000.0,230801000000,23936000000.0,6294000000,15594000000,,6294000000,13616000000,16258000000,93913000000,3602000000,84714000000,429000000.0,4215000000,2024-06-19,5.33,2024-01-01,5569.132,2022-01-01,8.00279982052121
2024-06-21,5,0.0997670352458953,0,0.0,2024-06-21,40.37,40.38,39.9,40.24,29624289,3,0.1422716666666666,,159.767,2024-05-01,643433.0,2024-05-01,314.069,2024-05-01,4.0,169274999000,12035000000,15.06,1.093,22.41,2.648,0.0661,2.67,31.82,0.0844,0.231,0.05,0.124,134043001000,77702000000,2.67,-0.066,0.002,44.81,15.06,8.64,1.248,1.809,2.538,8.47,0.405,42.73,29.17,39.97,38.1,4209250000,2024-03-31,USD,20287000000,32981000000,12694000000,17317000000.0,7521000000,8143000000,,13261000000,,-1635000000,78000000.0,1635000000,110000000,198000000,,4445000000,5955000000,1353000000,1525000000,4722000000,4783000000,7590000000,4602000000,380158000000,37957000000,2365000000,2365000000,2076000000,26086000000,358908000000,107863000000,214403000000,189788000000,166946000000,22842000000,30237000000,941000000,19000000.0,3536000000.0,19258000000,303440000000,53631000000,,18184000000,15594000000,19876000000.0,230801000000,23936000000.0,6294000000,15594000000,,6294000000,13616000000,16258000000,93913000000,3602000000,84714000000,429000000.0,4215000000,2024-06-20,5.33,2024-01-01,5569.132,2022-01-01,8.00279982052121
2024-06-22,0,0.0,0,0.0,2024-06-21,40.37,40.38,39.9,40.24,30390207,1,0.144884,,159.767,2024-05-01,643433.0,2024-05-01,314.069,2024-05-01,4.0,169274999000,12035000000,15.06,1.093,22.41,2.648,0.0661,2.67,31.82,0.0844,0.231,0.05,0.124,134043001000,77702000000,2.67,-0.066,0.002,44.81,15.06,8.64,1.248,1.809,2.538,8.47,0.405,42.73,29.17,39.97,38.1,4209250000,2024-03-31,USD,20287000000,32981000000,12694000000,17317000000.0,7521000000,8143000000,,13261000000,,-1635000000,78000000.0,1635000000,110000000,198000000,,4445000000,5955000000,1353000000,1525000000,4722000000,4783000000,7590000000,4602000000,380158000000,37957000000,2365000000,2365000000,2076000000,26086000000,358908000000,107863000000,214403000000,189788000000,166946000000,22842000000,30237000000,941000000,19000000.0,3536000000.0,19258000000,303440000000,53631000000,,18184000000,15594000000,19876000000.0,230801000000,23936000000.0,6294000000,15594000000,,6294000000,13616000000,16258000000,93913000000,3602000000,84714000000,429000000.0,4215000000,2024-06-20,5.33,2024-01-01,5569.132,2022-01-01,8.00279982052121
2024-06-23,0,0.0,0,0.0,2024-06-21,40.37,40.38,39.9,40.24,30390207,1,0.139442,,159.725,2024-05-01,643433.0,2024-05-01,314.069,2024-05-01,4.0,169380233000,12035000000,15.07,1.093,22.41,2.648,0.0661,2.67,31.82,0.0844,0.231,0.05,0.124,134043001000,77702000000,2.67,-0.066,0.002,44.81,15.07,8.64,1.248,1.809,2.538,8.47,0.405,42.73,29.17,39.97,38.13,4209250000,2024-03-31,USD,20287000000,32981000000,12694000000,17317000000.0,7521000000,8143000000,,13261000000,,-1635000000,78000000.0,1635000000,110000000,198000000,,4445000000,5955000000,1353000000,1525000000,4722000000,4783000000,7590000000,4602000000,380158000000,37957000000,2365000000,2365000000,2076000000,26086000000,358908000000,107863000000,214403000000,189788000000,166946000000,22842000000,30237000000,941000000,19000000.0,3536000000.0,19258000000,303440000000,53631000000,,18184000000,15594000000,19876000000.0,230801000000,23936000000.0,6294000000,15594000000,,6294000000,13616000000,16258000000,93913000000,3602000000,84714000000,429000000.0,4215000000,2024-06-20,5.33,2024-01-01,5569.132,2022-01-01,8.00279982052121
2024-06-25,0,0.0,0,0.0,2024-06-25,41.21,41.625,40.83,41.08,17474521,9,0.2685798888888888,,159.779,2024-05-01,643433.0,2024-05-01,314.069,2024-05-01,4.0,173294813000,12035000000,15.42,1.093,22.41,2.648,0.0646,2.67,31.82,0.0844,0.231,0.05,0.124,134043001000,77702000000,2.67,-0.066,0.002,44.81,15.42,8.64,1.248,1.809,2.538,8.47,0.405,42.73,29.17,39.99,38.16,4209250000,2024-03-31,USD,20287000000,32981000000,12694000000,17317000000.0,7521000000,8143000000,,13261000000,,-1635000000,78000000.0,1635000000,110000000,198000000,,4445000000,5955000000,1353000000,1525000000,4722000000,4783000000,7590000000,4602000000,380158000000,37957000000,2365000000,2365000000,2076000000,26086000000,358908000000,107863000000,214403000000,189788000000,166946000000,22842000000,30237000000,941000000,19000000.0,3536000000.0,19258000000,303440000000,53631000000,,18184000000,15594000000,19876000000.0,230801000000,23936000000.0,6294000000,15594000000,,6294000000,13616000000,16258000000,93913000000,3602000000,84714000000,429000000.0,4215000000,2024-06-24,5.33,2024-01-01,5569.132,2022-01-01,8.00279982052121
2024-06-26,1,0.0,0,0.0,2024-06-26,41.0,41.17,40.71,41.02,17280694,7,0.311165,,160.456,2024-05-01,643433.0,2024-05-01,314.069,2024-05-01,4.0,172915999000,12035000000,15.39,1.093,22.41,2.648,0.0648,2.67,31.82,0.0844,0.231,0.05,0.124,134043001000,77702000000,2.67,-0.066,0.002,44.89,15.39,8.64,1.248,1.809,2.538,8.47,0.405,42.73,29.17,40.02,38.2,4209250000,2024-03-31,USD,20287000000,32981000000,12694000000,17317000000.0,7521000000,8143000000,,13261000000,,-1635000000,78000000.0,1635000000,110000000,198000000,,4445000000,5955000000,1353000000,1525000000,4722000000,4783000000,7590000000,4602000000,380158000000,37957000000,2365000000,2365000000,2076000000,26086000000,358908000000,107863000000,214403000000,189788000000,166946000000,22842000000,30237000000,941000000,19000000.0,3536000000.0,19258000000,303440000000,53631000000,,18184000000,15594000000,19876000000.0,230801000000,23936000000.0,6294000000,15594000000,,6294000000,13616000000,16258000000,93913000000,3602000000,84714000000,429000000.0,4215000000,2024-06-25,5.33,2024-01-01,5569.132,2022-01-01,8.00279982052121
2024-06-27,0,0.0,0,0.0,2024-06-27,41.0,41.04,40.56,40.82,13351440,6,0.0740378333333333,,161.057,2024-05-01,643433.0,2024-05-01,314.069,2024-05-01,4.0,172663439000,12035000000,15.36,1.093,22.41,2.648,0.0648,2.67,31.82,0.0844,0.231,0.05,0.124,134043001000,77702000000,2.67,-0.066,0.002,44.89,15.36,8.64,1.248,1.809,2.538,8.47,0.405,42.73,29.17,40.03,38.23,4209250000,2024-03-31,USD,20287000000,32981000000,12694000000,17317000000.0,7521000000,8143000000,,13261000000,,-1635000000,78000000.0,1635000000,110000000,198000000,,4445000000,5955000000,1353000000,1525000000,4722000000,4783000000,7590000000,4602000000,380158000000,37957000000,2365000000,2365000000,2076000000,26086000000,358908000000,107863000000,214403000000,189788000000,166946000000,22842000000,30237000000,941000000,19000000.0,3536000000.0,19258000000,303440000000,53631000000,,18184000000,15594000000,19876000000.0,230801000000,23936000000.0,6294000000,15594000000,,6294000000,13616000000,16258000000,93913000000,3602000000,84714000000,429000000.0,4215000000,2024-06-26,5.33,2024-01-01,5573.099,2022-01-01,8.00279982052121
